EVENTO,ANNO
Rivoluzione industriale,1760
Rivoluzione francese,1789
Caduta dell'Impero Ottomano,1908
Fine della prima guerra mondiale,1918
Rivoluzione russa,1917
Nascita del fascismo,1919
Fine della seconda guerra mondiale,1945
Proclamazione dello Stato di Israele,1948
Conferenza di Bandung,1955
Sviluppo della tecnologia dei computer,1940
Caduta del Muro di Berlino,1989
Disgregazione dell'Unione Sovietica,1991
Terrorismo globale,1970
Guerra fredda,1945
Guerra del Golfo,1991
Crollo dell'economia mondiale,2008
Crisi dei rifugiati in Europa,2015
Elezione di Donald Trump come Presidente degli Stati Uniti,2016
Brexit,2016
Accordo sul clima di Parigi,2015
Inizio dei social media,2004
Inizio dell'era dello streaming musicale,2007
Inizio dell'era dei dispositivi mobili,2007
Inizio dell'era dei videogiochi,1970
Diffusione dell'uso di Internet,1990
Attacchi dell'11 settembre,2001
Guerra in Afghanistan,2001
Guerra in Iraq,2003
Primavera araba,2010
Guerra in Siria,2011
Manifestazioni del movimento #MeToo,2017
Guerra all'ISIS,2014
Crescita dell'estremismo islamico,2000
Elezione di Barack Obama come Presidente degli Stati Uniti,2008
Crisi del debito europea,2009
Guerra civile in Ucraina,2014
Crisi dei migranti in Europa,2015
Disastro nucleare di Fukushima,2011
Terremoti in Cile,2010
Inondazioni in Pakistan,2010
Calamità naturali in Haiti,2010
Tsunami del nell'Oceano Indiano,2004
Crisi economica dei paesi dell'Eurozona,2012
Conquista della Luna,1969
Viaggio di Neil Armstrong sulla Luna,1969
Primo volo dell'uomo nello spazio,1961
Primo volo in assenza di gravità,1961
Primo viaggio dell'uomo su Marte,1971
Primo volo dello Space Shuttle,1981
Fine della Guerra fredda,1991
Costruzione del Large Hadron Collider,2008
Primo contatto con l'intelligenza artificiale. 1950
Primo trapianto di cuore,1967
Primo trapianto di rene,1954
Primo trapianto di fegato,1967
Primo trapianto di polmone,1963
Primo trapianto di cellule staminali,1996
Primo trapianto di midollo osseo,1968
Primo uso di un farmaco a base di cannabis,1996
Primo uso di un farmaco per la cura dell'AIDS,1987
Primo uso di un farmaco per la cura del cancro,1998
Invenzione della radio,1895
Invenzione della televisione,1925
Invenzione della macchina fotografica,1826
Invenzione del telefono,1876
Invenzione del motore a combustione interna,1876
Invenzione dell'automobile,1885
Invenzione dell'aereo,1903
Invenzione della macchina da scrivere,1867
Invenzione del frigorifero,1834
Invenzione della lavatrice,1917
Invenzione dell'aspirapolvere,1901
Invenzione del videoregistratore,1956
Invenzione del cellulare,1973
Invenzione del microprocessore,1971
Primo volo del dirigibile,1900
Primo volo della navetta spaziale,1981
Primo volo di un velivolo senza equipaggio,1930
Primo volo di un aereo senza equipaggio,1915
Primo volo di un missile balistico intercontinentale,1957
Primo volo di un sottomarino,1954
Primo volo di un razzo interplanetario,1958
Primo volo di un razzo spaziale,1957
Primo volo di un satellite artificiale,1957
Primo volo di un veicolo spaziale,1961
Primo volo di un razzo a razzo,1946
Primo volo di un razzo a propellente liquido,1926
Primo volo di un razzo multistadio,1944
Primo volo di una navicella spaziale,1968
Primo volo di un'astronave,1981
Primo volo di una capsula spaziale,1961
Primo volo di un razzo con equipaggio,1966
Primo volo di un veicolo spaziale biposto,1986
Primo volo di una navicella spaziale con equipaggio,1998
Primo volo di una navetta spaziale con equipaggio,1981
Primo volo autonomo di un velivolo senza equipaggio,1917
Primo volo autonomo di un velivolo con equipaggio,1928
Primo volo di un drone,1917
Primo volo di un aereo a propulsione ibrida,1910
Primo volo di un veicolo di decollo verticale,1957
